chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock Z890 Phantom Gaming Nova WiFi DDR5 ATX,0,LGA 1851
AMD A520,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus A520 PRIME M-R-CSM AM4 DDR4 Micro ATX,4,AM4
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B460M MAG BAZOOKA DDR4 Micro ATX,4,LGA 1200
AMD B450,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,4,Asus B450 PRIME B450-PLUS AM4 DDR4 ATX,0,AM4
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z890 AORUS ELITE X ICE DDR5 ATX,0,LGA 1851
AMD A520,Micro ATX,PCIe 4.0 x4,ASRock,64,DDR4,2,ASRock A520 A520M-HDVP/DASH AM4 DDR4 Micro ATX,4,AM4
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus H610 PRIME H610M-K LGA1700 DDR5 Micro ATX,0,LGA 1700
Intel H470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H510 PRIME H510M-A R2.0 DDR4 Micro ATX,4,LGA 1200
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus PRIME B550M-A WI-FI DDR4 Micro ATX [Delete],0,AM4
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI B560M PRO DDR4 Micro ATX,6,LGA 1200
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS B760M-AYW WIFI II,4,LGA 1700
Intel Z590,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock Z590 Phantom Gaming-ITX/TB4 DDR4 Mini ITX,3,LGA 1200
