chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
AMD B550,ATX,"PCIe 4.0 x4, PCIE 3.0 x 4",ASUS,128,DDR4,4,ASUS ROG STRIX B550-XE GAMING WIFI,6,AM4
AMD X870E,ATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS X870E ROG STRIX X870E-H GAMING WIFI7 HATSUNE MIKU EDITION DDR5 ATX,4,AM5
Intel H410,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H410M-A/CSM PRIME DDR4 Micro ATX,4,LGA 1200
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus AMD A620 PRIME A620M-E-CSM AM5 DDR5 Micro ATX,4,AM5
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MAXSUN,96,DDR5,2,MAXSUN B650M Challenger WIFI ICE AM5 DDR5 Micro ATX,0,AM5
AMD B840,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B840 PRO VC WIFI AM5 DDR5 ATX,0,AM5
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850 PRO VC WIFI AM5 DDR5 ATX,0,AM5
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte B660M GAMING AC DDR4 Micro ATX,4,LGA 1700
Intel Z790,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,96,DDR5,2,Gigabyte Z790I AORUS ULTRA LGA1700 DDR5 Mini ITX,0,LGA 1700
AMD B450,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte B450 I AORUS PRO WIFI DDR4 Mini ITX,0,AM4
Intel H610,Mini-ITX,PCIe 4.0 x4,Gigabyte,64,DDR5,2,Gigabyte H610 H610I LGA1700 DDR5 Mini ITX,0,LGA 1700
AMD B850,ATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS ProArt B850-CREATOR WIFI NEO,4,AM5
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B860 B860M D2H DDR5 Micro ATX,4,LGA 1851
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B660M Steel Legend DDR4 Micro ATX,6,LGA 1700
Intel B860,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR5,2,ASRock B860I Lightning WiFi LGA1851 DDR5 Mini ITX,3,LGA 1851
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B850 Challenger WiFi AM5 DDR5 ATX,0,AM5
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI MEG Z890 ACE,0,LGA 1851
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,96,DDR5,2,ASRock A620 M-HDV/M.2+ AM5 DDR5 Micro ATX,0,AM5
AMD B840,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 3.0 x4",Gigabyte,256,DDR5,4,Gigabyte B840 GAMING X WIFI6E DDR5 ATX AM5,4,AM5
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,96,DDR5,2,MSI B650 B650M GAMING WIFI AM5 DDR5 Micro ATX,0,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B760M GAMING X AX DDR5 Micro ATX,0,LGA 1700
Intel B660,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI MAG B660 TOMAHAWK EVA e-PROJECT DDR5 ATX,6,LGA 1700
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850M GAMING PLUS WIFI DDR5 Micro ATX,0,AM5
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS ProArt B760-CREATOR DDR5,4,LGA 1700
Intel B660,Mini-ITX,PCIe 4.0 x4/x2,Gigabyte,64,DDR4,4,GIGABYTE B660I AORUS PRO DDR4,4,LGA 1700
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte H610M GAMING WIFI DDR4 Micro ATX,4,LGA 1700
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z790 ROG MAXIMUS DARK HERO LGA1700 DDR5 ATX,0,LGA 1700
Intel Z490,Mini-ITX,"PCIe 3.0 x4, PCIe 3.0 x4",MSI,128,DDR4,2,MEG Z490I UNIFY,4,LGA 1200
Intel B860,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,Asus B860 PRIME-PLUS-CSM DDR5 ATX,4,LGA 1851
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus ROG STRIX Z890-F GAMING WIFI DDR5 ATX,0,LGA 1851
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS TUF GAMING B650EM-E WIFI,0,AM5
AMD X870E,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",NZXT,192,DDR5,4,NZXT X870E N9 AM5 DDR5 ATX,0,AM5
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus A620 A620M-F GAMING WIFI AM5 DDR5 Micro ATX,0,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI B760M MAG MORTAR MAX WIFI DDR5 Micro ATX,6,LGA 1700
AMD A320,Micro ATX,,ASUS,64,DDR4,2,Asus A320 PRIME M-F DDR4 Micro ATX,2,AM4
Intel Z790,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte Z790 AORUS XTREME X DDR5 EATX,4,LGA 1700
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte B460M D3H LGA1200 DDR4 Micro ATX,6,LGA 1200
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI Z790 GAMING PLUS WIFI7 DDR5 ATX,6,LGA 1700
AMD B450,ATX,PCIe 3.0 x4,MSI,128,DDR4,4,MSI Performance Gaming AMD Ryzen 2ND and 3rd Gen AM4 M.2 USB 3 DDR4 DVI HDMI Crossfire ATX Motherboard (B450 GAMING PLUS Max),6,AM4
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B860M D3HP DDR5 Micro ATX,0,LGA 1851
AMD B650,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS TUF GAMING B650M-E WIFI,4,AM5
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B860M AORUS ELITE DDR5 Micro ATX,4,LGA 1851
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI PRO Z790-P DDR4 ATX,6,LGA 1700
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B660M Pro RS DDR4 Micro ATX,0,LGA 1700
Intel H810,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus PRIME WIFI-CSM H810M-A DDR5 Micro ATX,4,LGA 1851
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Biostar,192,DDR5,4,Biostar B650 MP-E PRO DDR5 Micro ATX,4,AM5
Intel B760,ATX,"PCIe 3.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS ProArt B760-CREATOR WIFI,4,LGA 1700
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock Z890 Lightning WiFi DDR5 ATX,4,LGA 1851
Intel H410,Micro ATX,,ASRock,64,DDR4,2,ASRock H410 M-HVS LGA1200 DDR4 Micro ATX,4,LGA 1200
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus B860 B860M-BRO LGA1851 DDR5 Micro ATX,4,LGA 1851
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte B550 AORUS ELITE AX V3 (rev. 1.5) DDR4 ATX,0,AM4
Intel H470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte H410M S2H V2 DDR4 Micro ATX,4,LGA 1200
Intel H610,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus H610 PRIME H610I-PLUS-CSM LGA1700 DDR5 Mini ITX,4,LGA 1700
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus TUF GAMING Z790-PLUS WIFI,0,LGA 1700
Intel Z590,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock Z590 OC Formula LGA1200 DDR4 EATX,8,LGA 1200
Intel B760,Micro ATX,"PCIe 4.0 x4, 4.0 x4",ASUS,96,DDR5,2,ASUS PRIME B760M-F WIFI,4,LGA 1700
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Biostar,128,DDR4,4,Biostar B660 MXC PRO LGA1700 DDR4 Micro ATX,8,LGA 1700
AMD A320,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,4,Gigabyte A320 GA-A320MA-M.2 (rev. 1.0) DDR4 Micro ATX,4,AM4
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus ROG X570 Crosshair VIII Formula AM4 DDR4 ATX,8,AM4
AMD B450,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI B450 M-A PRO MAX AM4 DDR4 Micro ATX,0,AM4
AMD X670E,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus X670E ROG CROSSHAIR EXTREME AM5 DDR5 EATX,0,AM5
AMD X370,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,4,ASUS X370 PRIME X370-A DDR4 ATX,6,AM4
AMD B450,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Biostar,32,DDR4,2,Biostar B450 MH AM4 DDR4 Micro ATX,0,AM4
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z790 PRIME-P DDR5 ATX,0,LGA 1700
Intel Z690,ATX,"PCIe 4.0 x4/x2, SATA / PCIe 4.0 x4/x2, PCIe 4.0 x4/x2, PCIe 4.0 x4/x2",Gigabyte,128,DDR4,4,Gigabyte Z690 AORUS ELITE DDR4 (rev. 1.x),6,LGA 1700
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 A PRO DDR4 ATX,0,LGA 1200
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",NZXT,128,DDR4,4,NZXT Z690 N7-Z69XT-B1 LGA1700 DDR4 ATX,0,LGA 1700
Intel Z490,Mini-ITX,"PCIe 3.0 x4, PCIe 3.0 x4",Gigabyte,64,DDR4,2,Z490I AORUS ULTRA,4,LGA 1200
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,4,Gigabyte X470 AORUS ULTRA GAMING DDR4 ATX,0,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z590 C/ac DDR4 ATX,6,LGA 1200
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte Z790 AORUS ELITE DDR4 ATX,0,LGA 1700
AMD X370,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,4,MSI X370 KRAIT GAMING DDR4 ATX AM4,6,AM4
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,Asus B860 Pro M-CT-CSM LGA1851 DDR5 Micro ATX,0,LGA 1851
Intel B560,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B560-E ROG STRIX GAMING WIFI DDR4 ATX,6,LGA 1200
AMD B650,Micro ATX,PCIe 4.0 x4,Gigabyte,96,DDR5,2,Gigabyte B650M H AM5 DDR5 Micro ATX,4,AM5
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus TUF GAMING B650M-PLUS WIFI,0,AM5
AMD X870,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte X870 AORUS ELITE WIFI7 AM5 DDR5 ATX,0,AM5
Intel Z790,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR5,2,MSI Z790 MPOWER LGA1700 DDR5 Micro ATX,6,LGA 1700
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 3.0 x4",ASUS,128,DDR4,4,ASUS PRIME B550M-A AC,4,AM4
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI B760 PRO B760-VC LGA1700 DDR5 ATX,4,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B760M Pro RS WiFi White DDR5 Micro ATX,4,LGA 1700
Intel Z890,Mini-ITX,"PCIe 5.0 x4, PCIe 5.0 x4",ASUS,128,DDR5,2,Asus ROG STRIX Z890-I GAMING WIFI DDR5 Mini ITX,2,LGA 1851
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus A620 A620M-AYW WIFI AM5 DDR5 Micro ATX,4,AM5
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR5,2,MSI B850M GAMING WIFI AM5 DDR5 Micro ATX,0,AM5
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS ROG STRIX B850-F GAMING WIFI,0,AM5
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS PRIME B550M-K,0,AM4
Intel Z490,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z490 MPG GAMING CARBON WIFI DDR4 ATX,6,LGA 1200
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,96,DDR5,2,Gigabyte H610M H V2 DDR5 Micro ATX,0,LGA 1700
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B460M Steel Legend DDR4 Micro ATX,6,LGA 1200
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus ROG STRIX Z890-A GAMING WIFI DDR5 ATX,0,LGA 1851
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,4,ASRock X470 Master SLI AM4 DDR4 ATX,6,AM4
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850 PRO B850M-A AM5 DDR5 Micro ATX,0,AM5
AMD B840,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B840 PRO M-P WIFI6E AM5 DDR5 Micro ATX,0,AM5
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte Z790 S WIFI (rev. 1.1/1.2) LGA1700 DDR4 ATX,4,LGA 1700
Intel H570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus H570 PRIME PLUS DDR4 ATX,6,LGA 1200
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z790 ProArt CREATOR WIFI DDR5 ATX,0,LGA 1700
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS B860 ROG STRIX B860-G GAMING WIFI DDR5 Micro ATX,4,LGA 1851
AMD B550,ATX,"PCIe 4.0 x4, PCIe 3.0 x4",MSI,128,DDR4,4,MSI B550-A PRO,6,AM4
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte B460M DS3H LGA1200 DDR4 Micro ATX,6,LGA 1200
Intel B660,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte B660 DS3H AC LGA1700 DDR4 ATX,0,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,192,DDR5,4,ASRock B760M PG Lightning Wifi DDR5 Micro ATX,4,LGA 1700
Intel H470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte H410M S2 V2 DDR4 Micro ATX,4,LGA 1200
AMD B840,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus B840 PRIME-PLUS WIFI AM5 DDR5 ATX,0,AM5
Intel H510,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H510 PRIME H510M-A WIFI DDR4 Micro ATX,4,LGA 1200
Intel H470,Micro ATX,,ASUS,64,DDR4,2,Asus H510 PRIME H510M-R R2.0 DDR4 Micro ATX,4,LGA 1200
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Colorful,128,DDR4,4,Colorful B550M CVN GAMING FROZEN V14 AM4 DDR4 Micro ATX,4,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI B760M GAMING PLUS WIFI DDR5 Micro ATX,0,LGA 1700
Intel Z690,Micro ATX,"PCIe 4.0 x4/x2, PCIe 4.0 x4/x2",Gigabyte,128,DDR4,4,Gigabyte Z690M DS3H DDR4 (rev. 1.0),4,LGA 1700
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus B860M AYW GAMING WIFI DDR5 Micro ATX,4,LGA 1851
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte B760M D2H DDR4 Micro ATX,4,LGA 1700
AMD X670,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte X670 GAMING X AX V2 DDR5 ATX AM5,4,AM5
AMD B450,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B450 Prime B450M-A II AM4 DDR4 Micro ATX,0,AM4
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B860M GAMING X DDR5 Micro ATX,4,LGA 1851
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus Z590-A PRIME DDR4 ATX,0,LGA 1200
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI PRO Z890-P WIFI,0,LGA 1851
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B760 PRO B760M-A II DDR4 Micro ATX,4,LGA 1700
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus X570 TUF GAMING PRO (WI-FI) AM4 DDR4 ATX,0,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,192,DDR5,4,ASRock B760M PG Riptide Wifi DDR5 Micro ATX,0,LGA 1700
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B660 PRIME M-A AC D4 DDR4 Micro ATX,0,LGA 1700
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z890 PRIME Z890-P WIFI LGA1851 DDR5 ATX,0,LGA 1851
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,ASUS EX-B760M-V5 D4,4,LGA 1700
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 PRO WIFI (CEC) DDR4 ATX,6,LGA 1200
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,ASUS H610 PRIME H610M-A WIFI D4-CSM DDR4 Micro ATX,0,LGA 1700
