cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
1,8,cpu,3.6,4,,,,4,4,Intel HD Graphics P530,Intel,,,,Skylake,Intel Xeon E3 1275 V5 3.6 GHz 4-Core LGA1151,062aeba2-c739-4fb9-b623-d6f319b89cb1,cpu_0023,,Intel Xeon E3,LGA 1151,80,8,
1,10,cpu,3,3.5,,,,4,4,None,Intel,,,,Haswell,Intel Xeon E5 2623 V3 3 GHz 4-Core LGA2011-3,06945a1e-f1c4-46a7-a96d-d66182284689,cpu_0024,,Intel Xeon E5,LGA 2011-3,105,8,
2,4,cpu,3.7,4.2,,,,4,4,AMD Radeon Vega 11,AMD,,,DDR4,Zen+,AMD Ryzen 5 3400G 3.7 GHz 4-Core AM4,06a6ec99-73aa-4cac-9cfb-21fa974ebe70,cpu_0025,,AMD Ryzen 5,AM4,65,8,
2,20,cpu,2.4,3.2,,,,8,8,None,Intel,,,,Haswell,Intel Xeon E5 2630 V3 2.4 GHz 8-Core LGA2011-3,06dd6572-a882-4f86-b3c4-c8c30fe6b476,cpu_0026,,Intel Xeon E5,LGA 2011-3,85,16,
1,8,cpu,3,3.5,,,,4,4,None,Intel,,,,Skylake,Intel Xeon E3 1220 V5 3 GHz 4-Core LGA1151 OEM/Tray,070c78bb-0589-40b2-986b-c592fe9303f2,cpu_0027,,Intel Xeon E3,LGA 1151,80,4,
1,8,cpu,3.5,3.9,,,,4,4,None,Intel,,,,Haswell,Intel Xeon E3 1270 V3 3.5 GHz 4-Core LGA1150,07376cbd-6c55-4409-8f84-452695faa5c1,cpu_0028,,Intel Xeon E3,LGA 1150,80,8,
,20,cpu,3.7,4.9,,,,10,10,None,Intel,,,"DDR5, DDR4",Alder Lake,Intel Core i5 12600KF 3.7 GHz 10-Core LGA1700,0800f2cd-ce39-4a64-b400-5d1e5d26e7cd,cpu_0029,,Intel Core i5,LGA 1700,125,20,
1,0,cpu,3.7,3.9,,,,2,2,AMD Radeon HD 8370D,AMD,,,,Piledriver,AMD A4 6300 3.7 GHz 2-Core FM2 OEM/Tray,08020db3-1ea0-48a2-8276-934e41e6c676,cpu_0030,,AMD A4,FM2,65,2,
1,8,cpu,3.6,4,,,,4,4,None,Intel,,,,Haswell Refresh,Intel Xeon E3 1271 V3 3.6 GHz 4-Core LGA1150,08235e69-49be-4bfe-b0a8-76beb0c6fd11,cpu_0031,,Intel Xeon E3,LGA 1150,80,8,
5,15,cpu,3.5,3.7,,,,6,6,None,Intel,,,,Haswell,Intel Core i7 5930K 3.5 GHz 6-Core LGA2011-3 OEM/Tray,082b37a2-faad-49d7-87e0-9d62750e26b5,cpu_0032,,Intel Core i7,LGA 2011-3,140,12,
1,6,cpu,3.6,4.2,,,,4,4,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i3 9100 3.6 GHz 4-Core LGA1151,083df030-ec2f-4971-8605-adf389bea28d,cpu_0033,,Intel Core i3,LGA 1151,65,4,
6,32,cpu,3.5,4.3,,,,12,12,None,AMD,,,,Zen+,AMD Threadripper 2920X 3.5 GHz 12-Core sTR4,08586f00-ac44-4e13-9693-2703f62023f5,cpu_0034,,AMD Threadripper,TR4,180,24,
